Id,tipo_moradia,localização,andares,nota_casa,ano_contrucao,preco,banheiros,vagas_garagem,cozinhas,banheiros,tamanho(em pés quadrados),tamanho lote (n útil)
291,Densidade Residencial Baixa,College Creek,2 andares,5,2006,233230,3,2,1,3,1919,15611
292,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,6,1912,135900,6,0,1,3,1716,5687
293,Densidade Residencial Baixa,Edwards,2 andares,4,1949,131000,3,1,1,2,1716,11409
294,Densidade Residencial Baixa,Northwest Ames,2 andares,7,1977,235000,3,2,1,4,2263,16659
295,Densidade Residencial Baixa,NAmes,1 andar,5,1953,167000,3,2,1,2,1644,9600
296,Densidade Residencial Baixa,Mitchell,2 andares,6,1984,142500,3,2,1,2,1003,7937
297,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,5,1950,152000,4,1,1,2,1558,13710
298,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,1997,239000,3,2,1,3,1950,7399
299,Densidade Residencial Baixa,Northwest Ames,2 andares,6,1968,175000,3,2,1,4,1743,11700
300,Densidade Residencial Baixa,Crawford,1 andar,8,1950,158500,3,1,1,2,1152,14000
301,Densidade Residencial Baixa,Crawford,1 andar,5,1953,157000,2,1,1,2,1336,15750
302,Densidade Residencial Baixa,College Creek,2 andares,5,1998,267000,4,2,1,3,2452,16226
303,Densidade Residencial Baixa,College Creek,1 andar,5,2001,205000,3,3,1,2,1541,13704
304,Densidade Residencial Baixa,College Creek,1 andar,7,1972,149900,3,2,1,2,894,9800
305,Densidade Residencial Média,Old Town,2 andares,9,1880,295000,3,3,1,3,3493,18386
306,Densidade Residencial Baixa,College Creek,1 andar,5,2004,305900,3,3,1,3,2000,10386
307,Densidade Residencial Baixa,Sawyer West,2 andares,5,1990,225000,4,3,1,4,2243,13474
308,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,7,1920,89500,3,0,1,1,1406,7920
309,Densidade Residencial Baixa,Edwards,1 andar,5,1940,82500,1,2,1,1,861,12342
310,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,360000,3,3,1,3,1944,12378
311,Densidade Residencial Baixa,Gilbert,2 andares,5,1993,165600,3,2,1,3,1501,7685
312,Densidade Residencial Baixa,NAmes,1 andar,6,1948,132000,2,1,1,2,972,8000
313,Densidade Residencial Média,Old Town,2 andares,7,1939,119900,3,2,1,2,1118,7800
314,Densidade Residencial Baixa,Timberland,1 andar,5,1965,375000,3,2,1,4,2036,215245
315,Densidade Residencial Média,Old Town,2 andares,7,1925,178000,3,2,1,3,1641,9600
316,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,188500,3,2,1,4,1432,7795
317,Densidade Residencial Baixa,Northwest Ames,2 andares,7,1980,260000,4,2,1,4,2353,13005
318,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2006,270000,3,3,1,3,1959,9000
319,Densidade Residencial Baixa,Northridge,2 andares,5,1993,260000,4,3,1,4,2646,9900
320,Densidade Residencial Baixa,Northwest Ames,2 andares,5,1980,187500,3,2,1,3,1472,14115
321,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2006,342643,4,3,1,4,2596,16259
322,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2004,354000,4,3,1,4,2468,12099
323,Densidade Residencial Baixa,Sawyer West,2 andares,5,1986,301000,4,2,1,4,2730,10380
324,Densidade Residencial Média,Old Town,1 andar,8,1955,126175,3,1,1,2,1163,5820
325,Densidade Residencial Baixa,NAmes,2 andares,7,1967,242000,5,2,1,3,2978,11275
326,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,6,1941,87000,2,2,1,1,803,5000
327,Densidade Residencial Baixa,Veenker,1 andar,5,1993,324000,1,2,1,4,1719,10846
328,Densidade Residencial Baixa,NAmes,1 andar,5,1960,145250,3,1,1,2,1383,11600
329,Densidade Residencial Baixa,Brookside,2 andares,6,1916,214500,5,2,1,2,2134,11888
330,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,5,1920,78000,3,1,1,1,1192,6402
331,Densidade Residencial Baixa,NAmes,1 andar,4,1964,119000,6,1,2,3,1728,10624
332,Densidade Residencial Baixa,NAmes,1 andar,6,1958,139000,3,1,1,2,1056,8176
333,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,284000,3,3,1,3,1629,10655
334,Densidade Residencial Média,Northridge Heights,1 andar,5,2004,207000,2,2,1,3,1358,8198
335,Densidade Residencial Baixa,Gilbert,2 andares,5,1998,192000,3,2,1,4,1638,9042
336,Densidade Residencial Baixa,Timberland,2 andares,6,1965,228950,3,2,1,4,1786,164660
337,Densidade Residencial Baixa,Stone Brook,1 andar,5,2005,377426,3,3,1,3,1922,14157
338,Densidade Residencial Baixa,College Creek,1 andar,5,2002,214000,3,2,1,3,1536,9135
339,Densidade Residencial Baixa,Northwest Ames,1 andar,7,1984,202500,3,2,1,3,1621,14145
340,Densidade Residencial Baixa,NAmes,1 andar,7,1958,155000,3,1,1,1,1215,12400
341,Densidade Residencial Baixa,Timberland,2 andares,5,2002,202900,4,2,1,3,1908,14191
342,Densidade Residencial Alta,Sawyer West,1 andar,4,1950,82000,2,1,1,1,841,8400
343,Densidade Residencial Baixa,NAmes,1 andar,4,1949,87500,2,2,2,2,1040,8544
344,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,266000,2,2,1,2,1684,8849
345,Densidade Residencial Média,Meadow Village,2 andares,3,1976,85000,3,1,1,2,1112,2592
346,Densidade Residencial Baixa,Brookside,2 andares,5,1939,140200,3,1,1,1,1577,6435
347,Densidade Residencial Baixa,NAmes,1 andar,8,1960,151500,2,1,1,1,958,12772
348,Densidade Residencial Baixa,NAmes,1 andar,5,1960,157500,3,2,1,3,1478,17600
349,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2003,154000,2,2,1,4,1626,2448
350,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2005,437154,4,3,1,4,2728,20431
351,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2007,318061,2,2,1,2,1869,7820
352,Densidade Residencial Baixa,Clear Creek,1 andar,5,1986,190000,2,2,1,3,1453,5271
353,Densidade Residencial Baixa,Edwards,2 andares,6,1941,95000,3,1,1,2,1111,9084
354,Densidade Residencial Média,Old Town,1 andar,8,1928,105900,2,2,1,1,720,8520
355,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,5,1940,140000,2,1,1,1,1595,8400
356,Densidade Residencial Baixa,College Creek,1 andar,5,1995,177500,3,2,1,3,1200,11249
357,Densidade Residencial Baixa,Gilbert,1 andar,6,1992,173000,3,2,1,3,1167,9248
358,Densidade Residencial Média,Meadow Village,1 andar,5,1976,134000,3,2,1,3,1142,4224
359,Densidade Residencial Baixa,Clear Creek,2 andares,4,1958,130000,3,1,1,2,1352,6930
360,Densidade Residencial Baixa,Northridge,2 andares,5,1998,280000,3,2,1,4,1924,12011
361,Densidade Residencial Baixa,Mitchell,2 andares,6,1978,156000,2,2,1,2,912,7540
362,Densidade Residencial Baixa,Brookside,2 andares,5,1940,145000,3,1,1,2,1505,9144
363,Densidade Residencial Baixa,Edwards,2 andares,5,2003,198500,4,2,1,3,1922,7301
364,Densidade Residencial Média,Briardale,2 andares,8,1972,118000,2,1,1,2,987,1680
365,Densidade Residencial Baixa,Northwest Ames,2 andares,5,1976,190000,3,2,1,4,1574,18800
366,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,7,1920,147000,3,1,1,1,1344,10690
367,Densidade Residencial Baixa,NAmes,1 andar,5,1963,159000,3,2,1,3,1394,9500
368,Densidade Residencial Baixa,NAmes,2 andares,5,1962,165000,3,1,1,2,1431,9150
369,Densidade Residencial Baixa,NAmes,1 andar,6,1954,132000,2,1,1,1,1268,7800
370,Densidade Residencial Baixa,NAmes,1 andar,7,1959,162000,3,2,1,2,1287,9830
371,Densidade Residencial Baixa,Gilbert,2 andares,5,2000,172400,3,2,1,3,1664,8121
372,Densidade Residencial Baixa,Clear Creek,2 andares,4,1959,134432,4,2,1,2,1588,17120
373,Densidade Residencial Baixa,Sawyer West,1 andar,5,1984,125000,2,1,1,2,752,7175
374,Densidade Residencial Baixa,NAmes,1 andar,6,1953,123000,3,1,1,2,1319,10634
375,Densidade Residencial Baixa,College Creek,2 andares,5,2003,219500,4,2,1,3,1928,8200
376,Densidade Residencial Baixa,Edwards,1 andar,1,1922,61000,1,0,1,2,904,10020
377,Densidade Residencial Baixa,College Creek,2 andares,5,1996,148000,2,2,1,1,914,8846
378,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2004,340000,4,2,1,3,2466,11143
379,Densidade Residencial Baixa,Stone Brook,1 andar,2,2010,394432,1,3,1,3,1856,11394
380,Densidade Residencial Baixa,Gilbert,2 andares,5,2000,179000,3,2,1,3,1800,8123
381,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,6,1924,127000,3,1,1,2,1691,5000
382,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2006,187750,2,2,1,3,1301,7200
383,Densidade Residencial Baixa,College Creek,2 andares,5,2006,213500,3,2,1,3,1797,9245
384,Densidade Residencial Alta,Sawyer West,2 andares,3,1928,76000,2,2,1,1,784,9000
385,Densidade Residencial Baixa,Clear Creek,2 andares,5,1992,240000,3,2,1,4,1953,53107
386,Densidade Residencial Baixa,Bloomington Heights,1 andar,5,2004,192000,2,2,1,2,1269,3182
387,Densidade Residencial Baixa,Edwards,2 andares,3,1910,81000,5,0,1,1,1184,8410
388,Densidade Residencial Baixa,Edwards,2 andares,6,1976,125000,3,1,1,2,1125,7200
389,Densidade Residencial Baixa,College Creek,1 andar,5,1999,191000,3,2,1,2,1479,9382
390,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2007,426000,3,3,1,4,2332,12474
391,Densidade Residencial Baixa,Edwards,2 andares,8,1900,119000,4,1,1,2,1367,8405
392,Densidade Residencial Baixa,Mitchell,2 andares,5,2001,215000,3,2,1,4,1961,12209
393,Densidade Residencial Baixa,NAmes,1 andar,7,1959,106500,3,1,1,1,882,8339
394,Densidade Residencial Baixa,Brookside,1 andar,5,1941,100000,2,0,1,1,788,7446
395,Densidade Residencial Baixa,Old Town,2 andares,6,1940,109000,2,1,1,1,1034,10134
396,Densidade Residencial Baixa,Edwards,1 andar,6,1956,129000,3,1,1,2,1144,9571
397,Densidade Residencial Baixa,College Creek,1 andar,5,1972,123000,2,2,1,1,894,7200
398,Densidade Residencial Baixa,NAmes,2 andares,5,1962,169500,4,1,1,2,1812,7590
399,Densidade Residencial Média,Iowa DOT and Rail Road,1 andar,2,1920,67000,2,1,1,1,1077,8967
400,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2006,241000,2,2,1,3,1550,8125
401,Densidade Residencial Baixa,Veenker,1 andar,5,1996,245500,1,2,1,3,1288,14963
402,Densidade Residencial Baixa,College Creek,1 andar,5,2005,164990,3,2,1,2,1310,8767
403,Densidade Residencial Baixa,Sawyer,1 andar,8,1940,108000,2,1,1,1,672,10200
404,Densidade Residencial Baixa,Northridge,2 andares,5,1998,258000,4,2,1,3,2263,12090
405,Densidade Residencial Baixa,Gilbert,2 andares,5,1995,168000,3,2,1,3,1572,10364
406,Densidade Residencial Baixa,Sawyer,1 andar,4,1976,150000,3,2,1,3,1620,9991
407,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,5,1936,115000,3,1,1,1,1639,10480
408,Densidade Residencial Baixa,Crawford,2 andares,7,1915,177000,4,1,1,2,1680,15576
409,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2006,280000,3,3,1,3,2172,14154
410,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2007,339750,3,3,1,4,2078,10800
411,Densidade Residencial Baixa,Edwards,1 andar,3,1958,60000,3,1,1,1,1276,9571
412,Densidade Residencial Baixa,Gilbert,1 andar,5,1955,145000,3,2,1,2,1056,34650
413,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2009,222000,2,2,1,4,1478,4403
414,Densidade Residencial Média,Old Town,1 andar,6,1927,115000,2,2,1,1,1028,8960
415,Densidade Residencial Baixa,Sawyer West,2 andares,5,1993,228000,3,3,1,4,2097,11228
416,Densidade Residencial Baixa,Gilbert,1 andar,5,2007,181134,3,2,1,2,1340,8899
417,Densidade Residencial Baixa,Sawyer,2 andares,7,1978,149500,3,2,1,2,1400,7844
418,Densidade Residencial Baixa,Crawford,2 andares,6,1918,239000,4,3,1,4,2624,22420
419,Densidade Residencial Baixa,Edwards,2 andares,6,1940,126000,3,1,1,3,1134,8160
420,Densidade Residencial Baixa,NAmes,1 andar,6,1968,142000,3,1,1,2,1056,8450
421,Densidade Residencial Média,Mitchell,2 andares,5,1997,206300,2,4,2,4,1344,7060
422,Densidade Residencial Baixa,Northwest Ames,1 andar,7,1977,215000,3,2,1,3,1602,16635
423,Densidade Residencial Baixa,Mitchell,1 andar,5,1954,113000,2,2,1,1,988,21750
424,Densidade Residencial Baixa,Northridge,2 andares,5,1998,315000,4,3,1,4,2630,9200
425,Densidade Residencial Baixa,NAmes,1 andar,5,1956,139000,2,1,1,2,1196,9000
426,Densidade Residencial Média,Old Town,2 andares,8,1946,135000,3,1,1,2,1389,3378
427,Densidade Residencial Baixa,Sawyer West,2 andares,5,1989,275000,2,2,1,4,1644,12800
428,Densidade Residencial Baixa,NAmes,1 andar,6,1957,109008,3,1,1,1,907,8593
429,Densidade Residencial Baixa,College Creek,1 andar,5,2007,195400,2,2,1,3,1208,6762
430,Densidade Residencial Baixa,Timberland,1 andar,5,1988,175000,3,2,1,3,1412,11457
431,Densidade Residencial Média,Briardale,2 andares,5,1971,85400,2,1,1,2,987,1680
432,Densidade Residencial Média,Old Town,2 andares,7,1920,79900,4,0,1,1,1198,5586
433,Densidade Residencial Média,Briardale,2 andares,5,1971,122500,2,2,1,3,1365,1920
434,Densidade Residencial Baixa,Gilbert,2 andares,5,1997,181000,3,2,1,3,1604,10839
435,Densidade Residencial Média,Meadow Village,2 andares,7,1972,81000,1,0,1,2,630,1890
436,Densidade Residencial Baixa,College Creek,2 andares,6,1996,212000,3,2,1,4,1661,10667
437,Densidade Residencial Média,Old Town,2 andares,8,1920,116000,2,2,1,1,1118,4400
438,Densidade Residencial Média,Brookside,2 andares,7,1926,119000,2,1,1,1,904,6000
439,Densidade Residencial Baixa,Crawford,1 andar,6,1913,90350,2,1,1,1,694,4280
440,Densidade Residencial Baixa,Edwards,2 andares,8,1920,110000,3,2,1,1,1196,12354
441,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,555000,2,3,1,3,2402,15431
442,Densidade Residencial Baixa,Edwards,1 andar,4,1955,118000,4,0,2,2,1440,12108
443,Densidade Residencial Média,Brookside,2 andares,7,1930,162900,3,2,1,2,1573,6240
444,Densidade Residencial Baixa,Bloomington Heights,1 andar,5,2006,172500,2,3,1,2,1258,3922
445,Densidade Residencial Baixa,College Creek,2 andares,5,1994,210000,4,2,1,4,1908,8750
446,Densidade Residencial Baixa,Edwards,1 andar,5,1956,127500,3,2,1,1,1689,9855
447,Densidade Residencial Baixa,NAmes,1 andar,6,1966,190000,2,2,1,3,1888,16492
448,Densidade Residencial Baixa,Gilbert,2 andares,5,1998,199900,4,2,1,3,1886,11214
449,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,6,1937,119500,3,1,1,2,1376,8600
450,Densidade Residencial Média,Old Town,2 andares,7,1948,120000,2,1,1,2,1183,6000
451,Densidade Residencial Média,Old Town,1 andar,8,1930,110000,2,1,1,1,813,5684
452,Densidade Residencial Baixa,Clear Creek,1 andar,5,1975,280000,2,2,1,3,1533,70761
453,Densidade Residencial Baixa,Timberland,2 andares,5,1996,204000,3,2,1,4,1756,9303
454,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2008,210000,3,2,1,3,1590,9000
455,Densidade Residencial Baixa,Mitchell,1 andar,5,1976,188000,4,2,2,4,1728,9297
456,Densidade Residencial Baixa,Northwest Ames,1 andar,6,1973,175500,3,2,1,2,1242,9600
457,Densidade Residencial Média,Old Town,2 andares,5,1916,98000,4,3,1,1,1344,4571
458,Densidade Residencial Baixa,Clear Creek,1 andar,6,1954,256000,2,2,1,2,1663,53227
459,Densidade Residencial Média,Old Town,2 andares,7,1925,161000,3,1,1,1,1666,5100
460,Densidade Residencial Baixa,Brookside,2 andares,4,1950,110000,3,1,1,2,1203,7015
461,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2009,263435,3,2,1,4,1935,8004
462,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,9,1936,155000,3,2,1,2,1135,7200
463,Densidade Residencial Baixa,Sawyer,1 andar,5,1965,62383,3,1,1,1,864,8281
464,Densidade Residencial Baixa,Crawford,2 andares,7,1934,188700,3,1,1,2,1660,11988
465,Densidade Residencial Baixa,College Creek,1 andar,5,1978,124000,3,0,1,2,1040,8430
466,Densidade Residencial Média,Bloomington Heights,1 andar,5,2004,178740,2,2,1,2,1414,3072
467,Densidade Residencial Baixa,NAmes,1 andar,5,1970,167000,2,2,1,2,1277,10628
468,Densidade Residencial Baixa,NAmes,2 andares,7,1942,146500,3,1,1,2,1644,9480
469,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,250000,3,3,1,2,1634,11428
470,Densidade Residencial Baixa,Sawyer West,2 andares,5,1993,187000,3,2,1,3,1710,9291
471,Densidade Residencial Baixa,Stone Brook,1 andar,5,1985,212000,1,2,1,3,1502,6820
472,Densidade Residencial Baixa,Northwest Ames,2 andares,6,1977,190000,3,2,1,3,1969,11952
473,Densidade Residencial Média,Edwards,2 andares,5,2005,148000,2,2,1,2,1072,3675
474,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,440000,2,3,1,3,1976,14977
475,Densidade Residencial Baixa,Stone Brook,1 andar,5,2000,251000,2,2,1,3,1652,5330
476,Densidade Residencial Baixa,Sawyer,1 andar,6,1963,132500,2,2,1,2,970,8480
477,Densidade Residencial Baixa,College Creek,1 andar,5,1997,208900,3,2,1,3,1493,13125
478,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2006,380000,3,3,1,3,2643,13693
479,Densidade Residencial Baixa,College Creek,1 andar,5,2007,297000,3,3,1,3,1718,10637
480,Densidade Residencial Média,Old Town,1 andar,7,1937,89471,2,2,1,1,1131,5925
481,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2004,326000,3,3,1,3,1850,16033
482,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,374000,2,3,1,3,1792,11846
483,Densidade Residencial Média,Old Town,2 andares,8,1915,155000,4,1,1,3,1826,2500
484,Densidade Residencial Média,Mitchell,1 andar,5,1998,164000,2,2,1,3,1216,4500
485,Densidade Residencial Baixa,Sawyer,1 andar,7,1962,132500,3,1,1,2,999,7758
486,Densidade Residencial Baixa,NAmes,1 andar,7,1950,147000,3,1,1,1,1113,9600
487,Densidade Residencial Baixa,NAmes,1 andar,7,1965,156000,3,2,1,3,1073,10289
488,Densidade Residencial Baixa,Northwest Ames,1 andar,6,1971,175000,3,2,1,2,1484,12243
489,Densidade Residencial Baixa,Old Town,2 andares,4,1900,160000,3,2,2,2,2414,10800
490,Densidade Residencial Média,Meadow Village,2 andares,8,1970,86000,1,1,1,2,630,1526
491,Densidade Residencial Média,Meadow Village,2 andares,6,1976,115000,3,1,1,2,1304,2665
492,Densidade Residencial Baixa,NAmes,2 andares,7,1941,133000,3,1,1,2,1578,9490
493,Densidade Residencial Baixa,Gilbert,2 andares,5,2006,172785,3,2,1,3,1456,15578
494,Densidade Residencial Baixa,NAmes,1 andar,6,1960,155000,3,1,1,2,1269,7931
495,Densidade Residencial Média,Old Town,1 andar,8,1938,91300,2,1,1,1,886,5784
496,C (all),Iowa DOT and Rail Road,1 andar,5,1920,34900,2,0,1,1,720,7879
497,Densidade Residencial Baixa,Northridge,1 andar,5,1992,430000,4,2,1,4,3228,12692
498,Densidade Residencial Baixa,Brookside,2 andares,6,1925,184000,4,1,1,3,1820,9120
499,Densidade Residencial Baixa,Sawyer,1 andar,7,1967,130000,3,1,1,1,899,7800
500,Densidade Residencial Baixa,NAmes,1 andar,7,1958,120000,2,1,1,2,912,7535
501,Densidade Residencial Média,Briardale,2 andares,5,1973,113000,3,1,1,2,1218,1890
502,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2005,226700,3,2,1,3,1768,9803
503,Densidade Residencial Baixa,Edwards,1 andar,7,1965,140000,2,2,1,2,1214,9170
504,Densidade Residencial Baixa,Crawford,1 andar,8,1959,289000,1,2,1,3,1801,15602
505,Densidade Residencial Baixa,Northpark Villa,2 andares,5,1974,147000,3,2,1,4,1322,2308
506,Densidade Residencial Média,Old Town,2 andares,5,1952,124500,4,2,2,2,1960,7596
507,Densidade Residencial Baixa,Sawyer West,2 andares,5,1993,215000,3,2,1,3,1911,9554
508,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2009,208300,2,2,1,2,1218,7862
509,Densidade Residencial Média,Old Town,2 andares,9,1928,161000,3,2,1,2,1378,9600
510,Densidade Residencial Baixa,NAmes,1 andar,6,1959,124500,3,1,1,2,1041,9600
511,Densidade Residencial Baixa,NAmes,1 andar,7,1951,164900,2,1,1,2,1363,14559
512,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,202665,2,2,1,2,1368,6792
513,Densidade Residencial Baixa,NAmes,1 andar,5,1958,129900,3,2,1,2,864,9100
514,Densidade Residencial Baixa,Mitchell,1 andar,5,1983,134000,3,2,1,2,1080,9187
515,Densidade Residencial Baixa,Crawford,2 andares,5,1926,96500,2,1,1,1,789,10594
516,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2009,402861,3,3,1,4,2020,12220
517,Densidade Residencial Baixa,Northwest Ames,2 andares,6,1972,158000,3,2,1,3,2119,10448
518,Densidade Residencial Baixa,Northridge,2 andares,5,1996,265000,3,3,1,3,2344,10208
519,Densidade Residencial Baixa,College Creek,2 andares,5,1998,211000,3,2,1,4,1796,9531
520,Densidade Residencial Baixa,Crawford,2 andares,9,1926,234000,3,1,1,2,2080,10918
521,Densidade Residencial Baixa,Old Town,2 andares,7,1900,106250,3,0,2,2,1294,10800
522,Densidade Residencial Baixa,NAmes,1 andar,6,1957,150000,3,1,1,2,1244,11988
523,Densidade Residencial Média,Brookside,2 andares,7,1947,159000,3,2,1,2,1664,5000
524,Densidade Residencial Baixa,Edwards,2 andares,5,2007,184750,3,3,1,5,4676,40094
525,Densidade Residencial Baixa,Northridge,2 andares,5,1996,315750,3,3,1,4,2398,11787
526,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2005,176000,3,2,1,2,1266,7500
527,Densidade Residencial Baixa,NAmes,1 andar,7,1956,132000,2,1,1,1,928,13300
528,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2008,446261,3,3,1,4,2713,14948
529,Densidade Residencial Baixa,Edwards,1 andar,7,1920,86000,2,0,1,2,605,9098
530,Densidade Residencial Baixa,Crawford,1 andar,3,1957,200624,4,2,2,4,2515,32668
531,Densidade Residencial Baixa,Timberland,2 andares,5,1988,175000,3,2,1,3,1509,10200
532,Densidade Residencial Média,Brookside,2 andares,8,1920,128000,3,2,1,2,1362,6155
533,Densidade Residencial Baixa,NAmes,1 andar,7,1955,107500,2,1,1,1,827,7200
534,Densidade Residencial Baixa,Brookside,1 andar,3,1946,39300,1,0,1,1,334,5000
535,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,178000,3,2,1,3,1414,9056
536,Densidade Residencial Baixa,Edwards,2 andares,7,1910,107500,3,0,1,2,1347,7000
537,Densidade Residencial Baixa,College Creek,2 andares,5,1998,188000,3,2,1,3,1724,8924
538,Densidade Residencial Baixa,NAmes,1 andar,5,1972,111250,3,2,1,1,864,12735
539,Densidade Residencial Baixa,Sawyer,1 andar,5,1968,158000,3,1,1,2,1159,11553
540,Densidade Residencial Baixa,College Creek,1 andar,5,2001,272000,3,2,1,3,1601,11423
541,Densidade Residencial Baixa,Timberland,1 andar,5,2006,315000,2,3,1,3,1838,14601
542,Densidade Residencial Baixa,Northridge,2 andares,5,2000,248000,4,3,1,3,2285,11000
543,Densidade Residencial Baixa,Northwest Ames,1 andar,5,1998,213250,3,2,1,3,1680,10140
544,Densidade Residencial Alta,NAmes,2 andares,5,1998,133000,1,1,1,2,767,4058
545,Densidade Residencial Baixa,Gilbert,2 andares,5,2006,179665,3,2,1,4,1496,17104
546,Densidade Residencial Baixa,Northwest Ames,2 andares,5,1988,229000,4,3,1,3,2183,13837
547,Densidade Residencial Baixa,Brookside,2 andares,7,1923,210000,3,2,1,2,1635,8737
548,Densidade Residencial Baixa,Mitchell,2 andares,7,1970,129500,2,2,1,2,768,7244
549,Densidade Residencial Média,Old Town,1 andar,7,1955,125000,2,2,1,2,825,8235
550,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2003,263000,4,2,1,3,2094,9375
551,Densidade Residencial Baixa,Northpark Villa,1 andar,6,1977,140000,2,2,1,2,1069,4043
552,Densidade Residencial Média,Old Town,1 andar,6,1957,112500,3,1,1,1,928,6000
553,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,255500,3,3,1,2,1717,11146
554,Densidade Residencial Baixa,Edwards,1 andar,5,1949,108000,2,2,1,2,1126,8777
555,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2003,284000,3,3,1,4,2046,10625
556,Densidade Residencial Média,Brookside,2 andares,6,1922,113000,2,1,1,1,1048,6380
557,Densidade Residencial Baixa,NAmes,1 andar,5,1957,141000,2,1,1,2,1092,14850
558,C (all),Iowa DOT and Rail Road,2 andares,6,1920,108000,3,1,1,2,1336,11040
559,Densidade Residencial Baixa,Gilbert,2 andares,5,1996,175000,3,2,1,4,1446,21872
560,Densidade Residencial Baixa,Bloomington Heights,1 andar,5,2003,234000,2,2,1,2,1557,3196
561,Densidade Residencial Baixa,Sawyer,1 andar,6,1957,121500,3,2,1,3,1392,11341
562,Densidade Residencial Baixa,Mitchell,1 andar,5,1974,170000,2,2,1,2,1389,10010
563,Densidade Residencial Baixa,Edwards,1 andar,6,1940,108000,3,0,1,2,996,13907
564,Densidade Residencial Baixa,Edwards,2 andares,7,1918,185000,4,2,1,2,1674,21780
565,Densidade Residencial Baixa,Northridge,2 andares,5,1992,268000,4,2,1,4,2295,13346
566,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,4,1915,128000,4,1,1,3,1647,6858
567,Densidade Residencial Baixa,Stone Brook,2 andares,5,2005,325000,4,3,1,3,2504,11198
568,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2004,214000,3,2,1,2,1535,10171
569,Densidade Residencial Baixa,Sawyer West,2 andares,8,1983,316600,1,2,1,3,2132,12327
570,Densidade Residencial Baixa,NAmes,2 andares,5,1979,135960,2,2,1,2,943,7032
571,Densidade Residencial Baixa,NAmes,1 andar,5,1965,142600,6,2,2,2,1728,13101
572,Densidade Residencial Baixa,NAmes,1 andar,6,1959,120000,2,1,1,2,864,7332
573,Densidade Residencial Baixa,Timberland,2 andares,5,2009,224500,3,2,1,3,1692,13159
574,Densidade Residencial Baixa,Gilbert,2 andares,5,2000,170000,3,2,1,3,1430,9967
575,Densidade Residencial Baixa,NAmes,2 andares,7,1971,139000,3,1,1,2,1109,10500
576,Densidade Residencial Baixa,NAmes,2 andares,5,1947,118500,2,1,1,1,1216,8480
577,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,7,1928,145000,3,1,1,3,1477,6292
578,Densidade Residencial Baixa,Sawyer,2 andares,6,1966,164500,3,2,1,2,1320,11777
579,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2007,146000,2,2,1,2,1392,3604
580,Densidade Residencial Média,Old Town,2 andares,5,1954,131500,4,1,1,2,1795,12150
